Value,Count
02-0793125,308
0000061741,306
46-2888046,304
0000023922,295
26-1234082,295
48-1148159,294
26-3943038,292
11-3073502,292
0000057463,289
80-0860209,284
39-2001010,284
65-0738229,283
0000068415,278
06-1016329,275
0000024224,275
86-0415227,273
47-3566124,271
20-8207683,269
0000014029,267
95-4657278,267
0000003943,265
0000707938,262
0000020068,262
0000060143,261
47-0996983,261
1146500007,260
0000062641,259
0000057071,258
87-0682600,257
0000006681,257
81-5294275,256
0000033806,255
0000034607,255
37-1742346,253
0000060968,252
74-3061159,249
0000060700,248
0000001768,248
95-4441070,247
20-8802502,247
0003138146,246
47-1853960,245
68-0184796,239
52-2323186,237
77-0329262,236
0000001536,235
0000022597,233
0000067895,230
88-0508228,229
0000024542,229
20-2409656,227
26-3375671,224
75-1791492,222
0000008468,220
04-3660901,215
26-1589507,215
0000019899,210
72-1591908,209
0000065299,206
0000006032,206
0000008056,205
0000061598,203
34-1719615,203
3804009998,203
0000004980,201
0000012425,199
0000003218,197
0000003440,196
0000009293,194
0000024235,193
77-0575554,191
0002193616,190
0000055130,189
26-3295749,187
0000068448,186
77-0563974,182
0000002285,182
7272800006,180
0000002024,180
0000057903,180
0000008120,179
33-0932995,178
20-0137049,177
0000012805,177
52-2276553,173
0000288853,173
1173900006,173
47-3705377,173
0000021716,173
0000009119,172
0000007835,172
47-3632618,170
80-0312140,170
95-3363852,170
2317700005,169
0000009296,169
0000708146,166
0000021717,163
11-3290207,162
26-0012825,162
45-5139677,160
0000068493,159
47-3715280,159
74-2508160,158
0000009230,158
0000009109,157
0000068452,157
95-4399912,156
36-4078960,155
33-0650958,154
0000064171,153
14-1770243,153
20-5479066,152
0001015560,151
0000064482,149
0000023049,149
0000068441,149
48-1236121,147
45-3508295,147
0000708089,146
0002182786,143
32-0016270,142
33-0801082,141
13-3753941,140
0000705141,140
0000706707,139
0001216826,137
68-0314095,137
26-1242154,137
26-3780954,135
0000023850,135
0000972590,133
0000068540,132
0000021956,132
41-1941324,130
41-1726353,130
20-2470783,127
0000023004,127
1099800006,127
0000057944,126
0000058390,124
33-0106473,122
04-3212636,122
0000066258,122
3827009995,121
0000062323,118
2137100009,118
20-2053401,117
39-2051009,116
0000015089,116
0000016840,115
20-4136310,115
0000064166,113
0000033539,113
0000068668,113
0000024229,112
35-2486440,112
22-3470404,111
0002736291,111
0000062677,109
0003303298,107
0000001438,106
81-2566626,106
0000003945,104
0000068395,103
36-4115595,102
0000012814,102
0000023957,101
0000068402,100
0000068474,99
0000005913,98
0000032779,98
06-1484285,98
0000068377,97
22-3626426,96
0000097068,96
38-2434249,95
41-2232111,95
0003783948,93
0000012311,90
0000702825,89
27-2105834,89
0000009366,87
20-1631806,87
0000017623,86
