Value,Count
57.02,660.0
435.12,660.0
85.04,659.0
35.01,659.0
430.01,656.0
60.08,655.0
422.03,655.0
42.07,655.0
85.12,652.0
19.05,650.0
71.05,648.0
1.05,648.0
3032.03,647.0
74.21,646.0
50.01,646.0
432.57,646.0
70.04,645.0
211.0,645.0
83.02,644.0
3551.14,644.0
208.11,643.0
120.02,642.0
420.08,641.0
17.06,641.0
44.0,639.0
5.05,639.0
67.0,638.0
96.36,638.0
213.03,636.0
96.3,635.0
43.01,634.0
14.01,634.0
320.53,633.0
85.09,633.0
55.03,633.0
80.02,632.0
4446.01,632.0
423.0,632.0
17.02,631.0
207.09,630.0
33.05,629.0
307.0,629.0
47.01,628.0
12.02,628.0
213.04,627.0
26.0,626.0
127.0,625.0
31.02,625.0
91.08,624.0
46.04,623.0
5125.03,622.0
97.13,620.0
36.0,619.0
430.07,617.0
17.07,617.0
12.03,616.0
28.03,615.0
186.11,615.0
25.01,615.0
44.01,614.0
48.0,613.0
128.0,611.0
427.11,610.0
102.04,610.0
5120.33,609.0
109.0,608.0
55.18,608.0
23.06,608.0
72.01,608.0
28.01,608.0
96.15,604.0
1.08,604.0
34.01,604.0
32.01,603.0
3451.08,602.0
4512.02,602.0
29.01,601.0
32.14,600.0
200.16,599.0
1032.0,599.0
95.04,599.0
433.17,599.0
31.12,598.0
100.16,598.0
126.0,596.0
30.02,595.0
406.16,595.0
81.45,594.0
112.0,594.0
170.15,589.0
221.0,589.0
402.0,588.0
125.02,588.0
200.14,587.0
212.04,587.0
235.0,587.0
32.09,587.0
107.0,586.0
9102.1,586.0
55.05,586.0
166.05,585.0
66.0,584.0
112.03,583.0
430.09,583.0
209.08,583.0
167.01,581.0
185.07,581.0
433.04,580.0
27.01,580.0
449.22,580.0
3080.01,580.0
118.02,579.0
45.03,579.0
438.02,579.0
755.15,578.0
432.64,578.0
9102.06,577.0
191.06,577.0
3320.0,575.0
5029.01,575.0
42.02,574.0
626.43,574.0
134.1,573.0
452.15,573.0
108.02,573.0
3010.0,573.0
12.04,572.0
420.13,571.0
52.03,570.0
85.07,569.0
419.1,569.0
2.2,569.0
1204.0,568.0
73.02,567.0
212.03,567.0
102.02,566.0
12.06,566.0
92.02,564.0
3131.03,564.0
19.02,564.0
9.06,564.0
62.02,564.0
9200.43,564.0
74.06,564.0
14.1,563.0
427.16,562.0
1102.0,562.0
3551.07,561.0
14.13,561.0
58.05,561.0
5034.01,561.0
50.03,560.0
80.01,559.0
191.05,559.0
100.1,558.0
318.0,557.0
2529.15,557.0
3553.04,556.0
26.07,556.0
34.03,556.0
427.23,556.0
106.06,555.0
31.09,555.0
60.03,555.0
4022.0,554.0
36.01,554.0
3190.0,552.0
53.02,552.0
432.65,552.0
118.01,552.0
5038.02,551.0
43.03,551.0
20.02,550.0
12.01,549.0
3020.09,549.0
9005.04,549.0
203.04,549.0
302.0,549.0
49.02,549.0
29.05,549.0
106.02,548.0
100.21,548.0
5013.0,548.0
4018.0,546.0
83.33,546.0
3551.09,546.0
13.02,546.0
22.06,545.0
134.19,545.0
514.0,545.0
5026.01,544.0
1212.0,544.0
80.06,543.0
4351.03,543.0
18.02,542.0
218.22,541.0
118.03,541.0
108.0,541.0
168.02,541.0
20.05,540.0
313.02,539.0
5.06,539.0
452.28,539.0
82.0,538.0
44.02,538.0
6027.0,538.0
112.05,537.0
3020.07,535.0
607.0,534.0
104.13,534.0
108.04,533.0
1.2,533.0
81.11,532.0
20.04,532.0
506.0,532.0
68.0,531.0
211.23,530.0
7030.02,529.0
208.1,529.0
432.27,529.0
203.07,528.0
1082.02,528.0
74.3,528.0
320.49,526.0
432.39,525.0
83.01,524.0
9.05,524.0
208.06,523.0
93.12,523.0
314.06,523.0
210.38,522.0
511.0,521.0
38.13,521.0
426.21,520.0
45.05,520.0
4312.0,519.0
3922.0,518.0
28.04,518.0
193.03,518.0
626.21,517.0
106.03,517.0
185.14,517.0
90.11,517.0
432.7,517.0
438.1,517.0
38.08,516.0
9200.31,515.0
427.45,515.0
9.01,515.0
63.01,514.0
54.01,513.0
52.09,512.0
129.0,512.0
7032.0,511.0
2527.02,511.0
4363.0,511.0
