Value,Count
Loan was not originated or was not sold in calendar year covered by register,889882
Fannie Mae (FNMA),257027
Freddie Mac (FHLMC),171704
Ginnie Mae (GNMA),157912
"Commercial bank, savings bank or savings association",89712
"Life insurance company, credit union, mortgage bank, or finance company",82005
Other type of purchaser,31732
Private securitization,17192
Affiliate institution,12301
Farmer Mac (FAMC),35
