Value,Count
Loan was not originated or was not sold in calendar year covered by register,893403
Fannie Mae (FNMA),257246
Freddie Mac (FHLMC),171975
Ginnie Mae (GNMA),158456
"Commercial bank, savings bank or savings association",89764
"Life insurance company, credit union, mortgage bank, or finance company",82080
Other type of purchaser,31979
Private securitization,17202
Affiliate institution,12319
Farmer Mac (FAMC),35
