Value,Count
Loan originated,876603
Application withdrawn by applicant,239749
Loan purchased by the institution,232537
Application denied by financial institution,225662
File closed for incompleteness,81431
Application approved but not accepted,53371
Preapproval request denied by financial institution,80
Preapproval request approved but not accepted,69
